x,y,0
4,17,2
4,3,2
4,20,2
17,3,2
6,2,2
6,5,2
4,21,2
6,7,2
6,8,2
6,11,2
20,0,2
6,28,2
6,29,2
16,24,2
16,23,2
26,5,2
26,3,2
16,20,2
7,17,2
7,18,2
20,2,2
7,23,2
7,24,2
25,29,2
8,2,2
8,3,2
25,25,2
8,8,2
8,10,2
26,23,2
6,6,2
5,22,2
27,0,2
17,11,2
17,10,2
4,29,2
27,7,2
5,4,2
19,23,2
5,7,2
5,10,2
17,5,2
21,17,2
26,29,2
26,28,2
5,16,2
19,28,1
19,14,1
20,21,1
19,18,1
21,16,1
19,3,1
19,11,1
20,6,1
20,3,1
19,15,1
20,28,1
20,27,1
21,3,1
19,26,1
19,8,1
19,25,1
21,18,1
21,4,1
20,22,1
19,16,1
19,27,1
20,15,1
21,2,1
21,6,1
20,1,1
0,0,1
21,19,1
27,26,1
27,24,1
27,23,1
27,22,1
27,17,1
27,11,1
27,8,1
27,5,1
27,4,1
27,2,1
26,27,1
26,21,1
26,19,1
26,17,1
26,14,1
26,10,1
26,6,1
26,4,1
27,25,1
27,28,1
26,1,1
28,0,1
29,26,1
29,25,1
29,17,1
29,11,1
29,8,1
29,2,1
29,0,1
28,27,1
28,26,1
28,21,1
28,20,1
28,18,1
28,16,1
28,15,1
28,14,1
28,11,1
28,9,1
26,2,1
25,28,1
21,20,1
23,27,1
23,10,1
23,5,1
23,2,1
23,0,1
22,28,1
22,27,1
22,26,1
22,19,1
22,14,1
22,11,1
22,7,1
22,5,1
22,4,1
22,0,1
21,29,1
21,28,1
21,21,1
23,14,1
23,28,1
25,26,1
23,29,1
25,24,1
25,23,1
25,20,1
25,19,1
25,9,1
25,5,1
18,27,1
25,2,1
25,1,1
25,0,1
24,24,1
24,17,1
24,8,1
24,7,1
24,2,1
24,1,1
24,0,1
19,0,1
13,24,1
18,26,1
6,19,1
7,16,1
7,12,1
7,10,1
7,9,1
7,7,1
7,5,1
7,3,1
7,1,1
6,27,1
6,24,1
6,18,1
18,25,1
6,14,1
6,4,1
6,0,1
5,26,1
5,23,1
5,18,1
5,17,1
5,13,1
5,12,1
5,11,1
7,20,1
7,25,1
8,1,1
8,4,1
9,21,1
9,20,1
9,19,1
9,16,1
9,15,1
9,12,1
9,11,1
9,8,1
9,6,1
9,5,1
9,3,1
9,0,1
8,28,1
8,26,1
8,23,1
8,21,1
8,17,1
8,12,1
8,11,1
8,7,1
8,6,1
5,5,1
5,2,1
5,0,1
2,22,1
2,18,1
2,17,1
2,14,1
2,4,1
1,29,1
1,26,1
1,23,1
1,22,1
1,21,1
1,16,1
1,14,1
1,13,1
1,8,1
1,7,1
1,2,1
0,28,1
0,24,1
0,10,1
0,9,1
0,7,1
0,6,1
2,21,1
2,24,1
4,24,1
2,26,1
4,23,1
4,22,1
4,19,1
4,18,1
4,16,1
4,15,1
4,13,1
4,10,1
4,8,1
4,7,1
4,4,1
4,1,1
3,27,1
3,22,1
3,17,1
3,15,1
3,12,1
3,9,1
3,7,1
3,6,1
3,0,1
9,22,1
9,23,1
9,29,1
16,9,1
16,3,1
15,29,1
15,28,1
15,25,1
15,23,1
15,22,1
15,17,1
15,16,1
15,14,1
15,11,1
15,9,1
15,8,1
15,5,1
15,2,1
15,1,1
15,0,1
14,29,1
14,22,1
14,20,1
14,16,1
14,15,1
16,6,1
16,15,1
14,13,1
16,16,1
18,23,1
18,22,1
18,17,1
18,14,1
18,13,1
18,12,1
18,7,1
18,6,1
18,2,1
17,25,1
17,21,1
17,12,1
17,9,1
17,8,1
17,1,1
16,28,1
16,27,1
16,25,1
16,21,1
16,18,1
16,17,1
14,14,1
14,10,1
10,0,1
12,7,1
12,5,1
12,3,1
12,0,1
11,26,1
11,22,1
11,17,1
11,16,1
11,9,1
11,4,1
11,3,1
11,1,1
10,28,1
10,23,1
10,20,1
10,17,1
10,15,1
10,14,1
10,13,1
10,5,1
10,3,1
10,1,1
12,6,1
12,11,1
14,7,1
12,12,1
14,1,1
14,0,1
13,25,1
13,20,1
13,18,1
13,16,1
13,13,1
13,12,1
13,11,1
13,9,1
13,6,1
13,2,1
13,1,1
13,0,1
12,28,1
12,27,1
12,26,1
12,25,1
12,19,1
12,17,1
12,16,1
29,29,1
