x1,x2
6.68,18.47
1.51,10.86
26.01,28.33
12.87,20.99
28.78,0.29
24.61,13.54
21.53,28.1
15.29,4.07
4.33,8.86
20.27,5.79
23.04,4.84
11.3,19.53
19.11,11.27
12.64,1.37
16.67,14.11
19.46,22.41
20.17,12.86
6.26,20.16
24.94,25.49
5.95,7.33
27.69,23.36
23.78,2.17
19.74,17.06
27.75,27.75
28.51,9.33
8.35,10.76
0.62,8.34
7.95,25.78
22.33,21.43
9.7,19.93
28.99,29.21
27.12,11.36
12.12,6.9
0.07,5.42
2.84,23.01
21.01,0.91
19.09,0.88
29.72,25.75
0.74,16.45
28.24,23.06
2.82,14.62
18.38,2.44
9.82,8.16
19.24,13.51
4.87,20.61
12.0,5.12
8.41,12.03
18.98,24.89
21.1,2.62
24.77,8.77
23.82,9.28
26.05,18.93
28.54,28.47
0.74,22.69
25.92,26.48
19.75,13.23
14.74,10.48
27.87,25.06
18.06,27.59
0.23,7.31
11.07,14.69
8.5,4.21
6.37,14.29
19.27,29.21
5.54,20.86
25.47,9.89
13.47,18.64
5.2,7.02
11.05,24.13
3.03,9.7
11.63,29.2
29.32,25.04
17.83,14.18
0.89,5.26
10.6,13.33
7.45,26.49
17.64,8.7
26.82,27.02
11.55,22.89
7.79,24.21
9.84,21.13
17.19,22.49
17.93,6.27
6.23,1.11
0.11,22.67
5.02,13.29
19.47,6.14
25.37,19.97
28.28,24.17
4.71,23.59
28.1,21.46
8.01,28.67
14.77,25.85
19.77,0.7
13.31,23.33
6.67,13.89
23.16,29.62
22.96,11.9
6.46,9.95
1.36,14.01
14.76,6.39
7.78,6.33
14.52,6.89
13.93,0.39
8.32,21.58
3.94,12.28
1.37,15.48
18.21,26.04
16.79,19.91
18.41,23.12
4.79,4.38
2.21,10.39
9.08,4.43
26.75,7.31
13.42,14.05
22.2,27.19
7.06,25.34
6.0,5.79
21.45,16.81
27.71,25.66
25.47,25.89
29.09,21.77
28.15,4.4
23.36,27.91
24.94,9.82
21.92,6.73
24.13,23.95
26.4,14.94
18.35,9.51
7.68,25.86
3.31,21.47
23.3,10.53
21.95,22.81
25.19,21.68
28.14,25.8
19.52,13.84
0.45,19.85
20.64,11.54
6.89,18.77
10.91,16.11
7.38,9.45
10.23,21.23
14.76,7.13
21.27,9.58
15.51,22.11
23.83,29.72
11.52,25.18
3.42,11.71
21.77,13.89
11.21,0.21
8.21,5.75
27.61,21.94
23.33,19.19
27.02,14.13
18.48,12.71
27.76,23.36
19.46,18.98
22.64,11.76
0.3,4.03
0.03,15.92
22.85,23.56
0.23,25.96
18.65,7.22
8.44,25.62
20.48,27.44
28.45,26.99
10.95,15.97
8.57,14.54
18.98,20.4
20.66,25.23
26.61,25.13
19.75,26.86
20.79,22.34
14.64,8.47
9.78,5.42
6.95,19.6
20.34,21.14
22.7,9.78
22.06,19.79
21.13,11.6
25.48,1.01
4.75,12.16
9.42,27.58
5.56,2.51
18.51,14.27
8.79,23.71
1.89,19.06
3.1,18.76
11.71,16.15
27.15,14.27
0.59,7.36
3.42,18.0
22.28,4.01
26.79,4.26
28.24,16.88
13.17,18.1
15.0,17.6
2.66,10.9
27.68,7.56
15.77,26.59
0.81,22.39
17.1,8.76
19.85,1.7
11.66,6.64
18.21,8.43
11.38,5.29
9.89,8.98
24.59,10.11
19.71,2.81
17.99,21.5
11.24,25.34
25.94,0.94
27.45,9.77
9.79,4.65
3.96,28.68
29.22,11.51
8.49,1.22
20.53,22.93
14.4,14.39
10.11,4.22
22.54,3.09
26.37,6.03
16.04,19.23
21.46,3.74
14.47,13.6
14.16,1.18
18.42,17.87
1.31,26.56
5.79,14.14
21.05,21.77
11.57,21.58
17.22,21.93
26.85,8.82
3.0,17.34
24.5,1.21
24.15,15.1
5.13,24.88
28.81,20.07
2.31,18.15
18.39,25.38
4.57,25.06
23.6,15.8
20.2,16.3
8.86,23.59
14.24,28.51
27.61,25.58
17.73,27.52
3.98,26.68
15.84,3.11
23.17,9.81
0.74,11.08
18.29,25.66
19.73,4.17
13.7,8.42
15.04,21.42
23.48,0.41
15.98,15.3
25.44,1.87
21.72,25.93
9.07,17.14
23.03,1.05
5.73,4.94
15.47,16.94
25.99,0.35
15.78,17.18
2.17,26.39
24.37,15.36
10.2,14.44
18.03,10.79
20.96,10.26
2.16,15.45
4.51,17.28
7.32,21.3
17.77,18.23
16.95,8.3
5.47,21.87
25.1,9.95
1.67,25.73
22.5,23.28
9.92,29.58
27.7,22.65
25.85,5.08
1.59,3.55
11.1,17.84
12.86,29.67
9.7,4.82
13.34,16.98
21.19,13.96
3.64,7.24
18.66,14.6
6.85,21.23
23.75,11.82
27.17,15.25
7.61,10.36
7.18,11.28
19.85,20.36
2.94,25.97
0.66,25.15
3.84,21.34
25.89,19.46
6.76,8.11
1.88,11.8
11.93,2.88
14.35,22.66
19.56,12.79
11.41,12.0
15.36,0.53
0.41,8.12
16.73,16.76
18.87,0.29
2.86,14.26
7.48,29.3
2.35,4.17
8.18,23.28
26.52,7.74
9.9,28.12
7.89,0.76
15.68,5.74
3.2,20.06
18.75,4.26
5.04,20.58
15.34,0.65
26.06,20.64
22.9,15.81
28.06,22.7
7.59,8.53
5.63,20.69
4.93,12.79
5.77,5.37
5.68,28.98
11.77,12.33
26.89,23.49
22.83,15.96
5.64,7.12
23.44,20.32
23.97,7.46
20.21,6.27
24.23,25.44
20.39,24.68
2.95,5.22
15.43,0.2
13.63,19.59
14.53,22.94
15.49,24.74
17.45,22.34
10.51,4.9
1.75,15.93
8.2,23.97
4.04,7.92
14.63,25.3
2.9,12.68
10.48,5.89
3.96,7.93
14.47,23.85
10.28,15.42
22.95,14.71
26.96,2.2
17.34,4.14
21.28,16.56
3.54,20.74
28.47,1.24
20.03,9.19
21.7,28.72
10.66,26.36
27.94,3.4
19.86,9.47
2.18,16.75
17.01,19.1
28.74,24.83
19.6,5.43
16.35,0.0
26.38,12.0
13.79,13.98
20.77,15.9
11.59,11.55
26.76,15.88
21.25,14.0
1.54,7.66
15.39,21.97
28.54,27.27
23.54,29.13
18.64,25.43
16.12,20.64
15.24,13.61
7.45,27.47
26.49,5.47
6.31,19.65
0.95,11.82
5.58,3.39
21.27,14.74
11.43,12.44
13.18,10.62
18.89,25.89
3.07,5.41
0.64,10.54
23.36,27.59
27.11,23.02
27.45,23.43
29.58,16.36
12.03,19.76
23.68,25.85
6.24,24.75
4.88,23.09
26.85,7.88
2.71,24.48
19.44,15.15
5.6,29.87
2.48,18.54
7.53,2.96
20.05,25.33
4.34,4.85
26.67,16.37
23.75,15.49
4.31,2.46
5.37,7.61
14.2,13.76
23.96,24.95
8.35,20.62
29.37,1.45
16.55,20.73
9.9,18.35
26.11,6.17
7.68,10.47
8.59,29.23
20.63,2.0
29.95,25.85
28.0,2.28
21.11,11.94
2.0,24.08
9.17,11.45
20.52,9.4
1.25,23.77
20.07,7.14
7.13,16.05
14.37,23.14
28.04,2.66
2.8,18.86
3.64,22.93
4.68,21.46
9.86,12.48
1.64,12.96
10.58,11.47
28.44,11.94
19.66,22.4
19.95,15.01
4.21,28.22
29.7,1.67
13.79,21.32
19.23,20.39
5.6,12.98
24.65,23.97
21.13,22.18
7.14,21.36
9.29,0.75
23.1,28.92
2.83,7.38
17.04,17.88
12.18,27.3
19.68,26.81
2.93,8.54
0.49,22.04
20.78,9.22
23.98,21.36
9.12,16.44
15.24,16.01
6.75,13.83
28.08,21.27
1.75,27.55
13.84,28.54
22.67,20.31
20.52,21.84
1.45,15.61
24.01,16.57
1.85,25.25
12.47,15.46
22.4,13.15
24.39,5.08
12.78,14.87
9.03,9.98
13.2,9.7
1.49,24.75
8.23,16.42
1.79,6.98
22.58,18.02
19.47,1.04
14.58,29.88
14.29,8.99
20.14,0.17
12.16,26.89
14.94,26.41
6.07,21.35
22.84,18.76
11.93,0.56
13.5,25.45
12.56,0.61
24.0,29.22
26.61,25.57
26.86,14.47
25.2,5.63
27.86,11.73
28.51,4.92
20.07,0.83
22.13,24.15
24.09,3.99
2.52,3.45
23.8,29.71
3.8,0.67
26.07,21.98
2.97,23.11
21.59,22.26
23.23,25.74
4.74,29.77
7.99,24.8
15.38,14.9
7.03,18.32
23.1,15.93
0.79,24.89
29.87,3.32
2.25,23.19
5.27,21.8
23.2,29.0
13.43,16.8
18.79,3.97
23.64,21.62
15.26,11.28
29.55,8.58
0.64,4.05
15.71,10.73
8.22,10.69
12.3,17.3
27.47,19.82
2.83,27.04
5.14,26.77
4.01,15.77
26.79,19.46
1.57,20.29
22.44,11.2
29.05,1.16
22.47,18.05
1.77,0.6
5.62,24.31
27.46,24.6
13.15,18.23
4.1,9.52
3.39,12.74
14.31,3.91
15.69,9.18
13.24,18.13
11.99,15.47
19.06,2.68
15.23,16.35
21.74,20.59
5.24,17.86
26.15,28.47
22.11,28.31
8.96,13.24
19.75,7.4
4.08,3.62
25.53,13.51
9.75,16.43
13.86,17.06
24.31,7.0
21.22,5.89
14.02,23.32
0.96,3.31
0.73,15.75
17.34,10.92
20.68,16.48
5.46,26.98
8.0,6.02
18.59,0.67
18.37,7.19
17.56,4.73
1.9,13.33
11.64,2.72
25.28,5.89
6.2,4.62
15.21,15.57
2.88,25.59
3.01,17.97
0.94,12.45
10.23,1.58
26.19,19.77
29.52,21.78
25.54,17.57
7.87,28.85
19.66,17.57
7.17,19.01
23.85,14.28
1.88,5.34
6.66,11.42
27.25,2.51
7.16,2.68
18.49,5.46
22.18,9.74
29.07,10.42
25.0,25.36
16.4,22.22
21.23,24.71
0.75,7.19
10.55,18.1
19.63,14.0
17.86,12.45
17.97,1.24
4.36,7.09
24.27,9.09
2.9,12.15
12.23,4.48
6.63,9.49
15.25,9.43
12.26,28.98
1.59,12.92
13.68,19.18
15.7,23.66
18.51,17.68
5.22,3.58
22.4,5.76
12.42,3.56
14.38,13.41
5.94,13.77
20.12,13.39
12.23,29.12
22.25,2.03
28.66,12.81
24.13,26.37
10.66,8.27
4.77,15.24
10.95,4.25
0.74,6.0
19.61,3.77
0.66,23.95
22.6,11.64
27.82,1.67
29.58,19.3
11.67,26.82
25.99,0.54
17.84,23.14
12.65,9.1
24.08,21.86
7.49,15.84
4.19,29.86
13.88,0.08
7.55,13.25
11.36,28.43
18.75,7.78
12.06,27.25
6.78,11.14
17.78,13.49
26.01,15.83
13.46,2.47
25.21,3.92
6.37,17.0
20.4,1.59
3.29,12.78
19.2,1.12
4.2,22.77
12.43,28.23
11.1,27.96
15.61,15.21
14.9,14.51
3.35,5.53
9.53,2.69
25.82,14.89
11.38,20.64
10.31,6.56
16.79,8.8
0.16,24.72
8.35,25.68
11.16,22.81
28.84,15.15
13.74,15.37
3.58,20.54
19.88,4.31
20.65,15.52
22.66,29.79
15.64,19.91
28.19,5.68
18.07,25.65
14.0,24.75
3.92,11.76
14.28,29.66
12.38,14.76
16.4,17.98
28.69,3.29
0.92,27.71
23.59,4.68
23.92,18.28
23.09,23.41
16.4,4.65
17.79,11.56
19.0,16.36
13.46,22.48
16.58,13.14
13.38,17.0
17.5,3.69
10.99,5.9
16.0,3.27
0.92,25.88
23.5,6.32
26.25,7.18
22.05,6.98
0.06,0.46
20.27,9.07
26.68,18.66
13.33,19.18
13.58,2.42
14.11,27.94
11.85,8.37
7.09,9.39
23.54,19.44
27.82,12.58
24.43,27.99
13.63,11.56
5.56,29.88
26.98,17.32
26.8,0.66
26.58,21.36
0.09,8.35
14.22,9.77
7.01,12.0
12.49,2.93
7.15,6.71
11.59,2.58
9.71,27.76
22.17,28.23
12.97,24.52
4.17,3.16
21.33,12.1
23.6,25.13
24.02,11.87
23.55,4.14
27.22,27.79
22.91,6.08
7.97,3.53
27.75,15.13
15.66,19.62
2.88,9.67
24.13,21.52
0.45,15.5
13.53,25.47
17.21,11.75
17.99,2.3
25.88,13.51
27.71,8.87
5.43,5.42
11.8,24.87
3.93,3.62
28.55,24.43
4.29,25.54
8.29,19.94
4.7,13.55
5.55,4.2
18.41,12.32
2.83,21.33
23.92,16.75
1.37,14.39
3.9,20.17
7.91,24.27
2.79,2.46
17.34,14.98
16.36,3.62
16.57,24.67
22.57,13.89
23.36,18.45
8.09,2.8
13.74,22.43
9.14,2.42
22.38,10.47
9.16,13.87
17.49,19.8
21.84,12.75
0.69,19.79
3.56,17.28
0.65,4.34
5.02,2.71
4.64,28.83
16.02,1.17
18.25,16.59
10.38,20.55
6.45,11.14
11.59,0.88
20.16,10.14
3.29,23.46
1.3,8.62
18.2,19.69
19.12,25.24
16.24,29.6
29.81,13.89
24.36,12.69
0.3,24.38
16.29,10.9
28.86,29.09
13.2,3.48
17.94,14.79
7.34,13.49
24.61,28.93
26.52,19.55
15.62,17.21
18.85,23.27
3.95,23.97
6.99,2.03
17.12,24.15
27.38,16.68
20.57,4.5
1.96,0.34
24.16,25.48
14.52,28.45
13.01,14.63
6.01,20.86
8.12,24.74
22.4,18.05
16.6,4.23
15.0,14.63
24.37,6.6
0.48,2.96
24.98,2.07
22.88,16.23
7.33,22.74
6.13,26.97
20.71,25.35
28.65,0.32
7.14,5.8
1.41,19.05
24.82,11.11
16.09,5.04
27.53,24.66
10.51,3.19
21.77,5.02
0.17,24.27
19.5,4.85
19.81,17.6
17.56,23.3
16.17,17.5
14.89,22.94
21.93,20.84
24.63,25.92
0.13,2.0
3.31,27.28
18.18,12.85
0.72,19.25
21.11,23.28
26.15,12.73
10.94,8.34
28.72,16.9
28.69,18.41
20.89,16.51
28.21,24.13
2.9,10.14
13.73,15.72
22.63,5.44
26.3,23.82
9.72,20.36
18.28,15.77
28.39,14.74
28.71,7.87
28.58,19.48
25.98,19.51
13.53,24.98
7.43,0.65
20.31,19.12
24.71,29.46
