x,y,0
1,23,1
1,20,1
1,13,1
1,11,1
1,10,1
1,8,1
1,5,1
2,5,1
1,3,1
0,29,1
0,27,1
0,23,1
0,18,1
0,16,1
0,12,1
0,10,1
0,3,1
0,2,1
2,4,1
2,7,1
4,21,1
3,22,1
4,20,1
4,17,1
4,16,1
4,13,1
4,11,1
4,9,1
4,8,1
4,2,1
3,28,1
3,27,1
3,18,1
2,8,1
3,14,1
3,9,1
3,3,1
3,1,1
3,0,1
2,27,1
2,26,1
2,21,1
2,16,1
2,15,1
9,28,1
10,1,1
19,18,1
15,22,1
16,14,1
16,13,1
16,10,1
16,5,1
16,3,1
16,1,1
16,0,1
15,26,1
15,24,1
15,23,1
15,14,1
16,22,1
15,13,1
15,11,1
15,10,1
15,4,1
14,27,1
14,26,1
14,24,1
14,17,1
14,12,1
14,10,1
16,16,1
17,1,1
14,7,1
18,15,1
19,14,1
19,12,1
19,9,1
19,6,1
19,3,1
18,27,1
18,26,1
18,24,1
18,20,1
18,19,1
18,10,1
17,3,1
18,8,1
18,5,1
18,4,1
18,3,1
18,1,1
17,27,1
17,24,1
17,18,1
17,17,1
17,10,1
14,9,1
14,3,1
10,3,1
11,5,1
11,26,1
11,21,1
11,20,1
11,19,1
11,17,1
11,16,1
11,15,1
11,14,1
11,8,1
11,6,1
11,1,1
11,28,1
10,26,1
10,22,1
10,21,1
10,20,1
10,18,1
10,16,1
10,14,1
10,13,1
10,11,1
10,6,1
11,27,1
11,29,1
14,1,1
12,20,1
13,27,1
13,24,1
13,23,1
13,13,1
13,10,1
13,9,1
13,8,1
13,5,1
13,3,1
12,24,1
12,17,1
12,0,1
12,15,1
12,12,1
12,9,1
12,7,1
12,6,1
12,5,1
12,4,1
12,3,1
12,2,1
12,1,1
29,28,1
